Time,Script,Translation1,Translation2
5:42,だいぶ体 が 軽く なっ た の で,I feel as though my body is lighter.,Because my body has become lighter
5:45,ダイエット や デトックス を 考え て いる 人 に は お すすめ です,So I highly recommend these two for people who are on a diet or who want to detox their body.,Recommended for those who are thinking about diet and detox
6:04,バナナはそのまま,I feel that bananas taste better,Banana as it is
6:07,かぶりつく より やっぱり 切っ て バナナヨーグルト に し て 食べる ほう が 美味しく 感じ ます,when they are cut and put in yogurt than just eaten on its own.,"After all, it feels better to cut it and eat it as banana yogurt than to bite it."
6:50,朝ごはん は こんな 感じ,My breakfast looks like this.,Breakfast looks like this
6:55,いただき ます,Let's eat.,I will have
7:08,あんまり 腹持ちは 良く ない の で,This breakfast isn't that filling,I'm not very hungry
7:13,お腹 が 空き そう だ なー と いう 日 は これ に 加え て トースト を 食べ て い ます,so I eat a slice of bread as well on days that I think I might get hungry.,"On days when I'm hungry, I also eat toast."
7:37,食べ 終わっ たら youtube の コメント を 見 たり 軽く 作業 を し て おき ます,"After I finish eating, I check my YouTube comments and other bits and things.","When you finish eating, read the comments on youtube and work lightly."
7:47,そろそろ出かける 準備 を し て いき ます,It's about time to start getting ready to go out.,I will prepare to go out soon
7:56,なるべく 身軽でいたいの で お 財布 や カメラ、 リップ など 最低 限 の もの を 持っ て いき ます,"I only bring my essentials for example my wallet, camera and lip cream because I like to travel light.","I want to be as light as possible, so I will bring the minimum items such as a wallet, camera, and lipstick."
8:14,ちなみ に 中身 は こんな 感じ,Oh and these are what I put in my bag.,"By the way, the contents are like this"
8:22,帰っ て き て 面倒 くさく ないよう に 朝 使っ た 食器 など を ささっ と 洗っ て いき ます,I wash the dishes I used so that I don't have to do it after I come back home.,I will wash the dishes I used in the morning quickly so that I will not be bothered when I come back.
8:33,歯磨き を し て,"Brush my teeth,",Brush your teeth
8:37,Apple watch を つけ て,"put on my apple watch,",With an Apple watch
8:44,お気に入り の 無印 ダウン を 羽織り ます,and put on my favourite MUJI jacket.,Put on your favorite MUJI down
8:50,この ダウンはフード が 大きく て お気に入り です,This jacket has a large hood and I like it a lot.,This down has a big hood and is my favorite
9:06,メイク の 仕上げ に スリー の グロス を 塗り ます,I apply my THREE lip gloss to finish off my makeup.,Apply three glosses to the finish of your makeup
9:18,最後 に イソップ の いい 匂い の する スプレー を かけ て 完了 です,"Finally, I spray on my nicely scented Aesop spray and we're ready.","Finally, spray with Aesop's nice scent and you're done."
9:30,全体 は こんな 感じ に なり まし た,This is the overall look.,The whole thing looks like this
9:41,それ じゃあ 行っ て き ます,"Okay, I'm leaving now.",Then I will go
9:45,見 て くださっ て ありがとう ござい まし た これ が 私 の morning routine です,Thank you for watching. This was my morning routine.,Thank you for watching. This is my morning routine.
