Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
この道をまっすぐ行ってください。,あきらめてはいけません。,私は彼女と意見が違う。,鈴木さんは来月アメリカから帰って来ます。,隠さないで、本当の事を言って欲しい。,学生の時、よく先生に校庭を走らされた。,分からなかったら、先生に聞いてください。,お茶をお入れしましょうか。,彼女はあまり身なりに構わない。,漢字にかなを振ってくれませんか。
母は子供の病気の回復を祈った。,みんな目を閉じて、死者の冥福を祈った。,この箱の中身は何か当ててみてください。,彼はその馬に一万円をかけた。,去年、その二つのチームは優勝を争った,日曜日、どこにも出かけませんでした。,駅へ急ごう。,午後、用事があって、出かけなければならない。,その件はもう少し考えさせてくれませんか。,足にけがをしたので、包帯を巻いた。
彼女は猫を一匹飼っています。,この靴はサイズが合いません。もう少し小さいのをください。,彼女は友達の忠告に耳を貸さなかった。,もうこれ以上待てません。,集めたごみを燃やしましょう。,食事の用意ができた。,外は強い風が吹いている。,駅から家まで歩いて五分ぐらいです。,彼は経済的に困っている。,待ち合わせの場所と時間を決めましょう。
気分が悪くて、吐いてしまいました。,窓を開けてもいいですか。,友達の赤ちゃんを抱かせてもらった。,もう一度考えてみます。,子供達は夏休みが始まる喜びを隠せないようだった。,ごめんなさい。今仕事で手が離せません。,京都のお寺を見て回るにはバスが便利です。,森から熊が現れた,パスポートの期限がもうすぐ切れます。,この野球場は三万人入れます。
銀座の街を歩きました,どの会社も経費を減らす努力をしている。,鈴木先生は息子さんが二人いらっしゃるそうです,答えが合っているかどうか、確かめてください。,あなたの荷物を預かっています。,音楽を聴きながら、コーヒーを飲みました。,家の前に止めておいた自転車が消えた。,鍵が壊れていて、窓が開かない。,去年と比べて、売り上げが15パーセント減った。,息を吸って、ゆっくり吐いてください。
家を出た時、雨が降っていた。,天気予報によると、明日は午後から曇るそうだ。,その子は答えにくい質問をして、親を困らせた。,雨でぬれた髪の毛をタオルでふいた。,どうしてその仕事を選びましたか。,霧が晴れそうです。,どこに引っ越すかまだ決めていません。,部屋代を含めずに、一日は五千円ぐらいでした。,今年の冬はインフルエンザがはやるそうだ。,数えきれないほど大勢人がいました。
日本語はものによって数え方が違います。,給料が上がりました。,この店の代金は私に払わせてください。,友達から返事が来るのを待っています。,電話をお借りしてもいいですか。,友達にバカにされて、彼はキレてしまった。,よろしくお願いいたします。,毎朝、妹は服を選ぶのに時間がかかる。,小包の重さを量っていただけませんか。,ゆうべ遅くに地震がありました。
あそこに預けられますよ。,猫の手も借りたいくらい忙しい。,髪型を変えようと思っています。,土曜日にパーティーがあるんですが、来られますか。,これは消しゴムで消せません。,彼女に一時間も待たされました。,隣の家に若い家族が越してきた。,ごみは朝八時までに出してください。,壁にきれいな絵がかかっている。,日本語を教えてあげましょうか。
部屋を出る時、電気を消してください。,私は妹が一人います。,十時に会議を始めます。,寒気がするから、熱を測ってみた。,長さを測る。,毎日同じ仕事をするのに飽きました。,日が暮れる前に帰ろう。,法に触れるような行為はしたことがない。,足を机の角にぶつけてしまった。,彼女は太った猫を飼っている。
山田さんとは話したことがありません。,彼は誰にも見つけられないように、お金を隠した。,あそこに森さんがいます。,壊れた電話機を修理してもらった。,席を替わってくれませんか。,ピアノもギターも少し弾けます。,あの人は日本人ですか。いいえ、違います。,この書類は折り曲げないで保管してください。,テレビを消してもいいですか。,彼は顔を窓に近づけて、外を見た。
彼女は車をガードレールにぶつけました。,彼女は気持ちがすぐ顔に表れる。,女はピアノを弾くことができます。,彼女は感情を態度に表しません。,この定規は少し曲がっているようです。,今どんなファッションがはやっていますか。,その美術館はあまり込んでいなかった。,これは彼の代表作の一つに数えられている。,その話題には触れないほうがいい。,友達の誕生日にプレゼントをあげました。
ネクタイが曲がっていますよ。,今日の試験はいつもより難しく感じた。,郵便局は駅のそばにあります。,チームの優勝を祝って、乾杯しましょう。,いすを机に近づけてください。,話し中に電話が切れた。,映画は何時に始まりますか。,彼女はかんで含めるように子供に説明した。,彼は無実の罪を着せられた。,もう帰らなければ。そうですか。お構いもしませんで。
お手伝いいたしましょう。,雪がとけて、地面が現れ出しました。,ろうそくの火が消えそうです。,電車は駅に近づいた。,調査が進むと、隠れていた問題が明らかになった。,間違って、この本を持って来てしまった。,都合が悪くて、友達の誘いを断った,先生にいい辞書を選んでいただきました。,お待たせいたしました。,そのいすは壊れそうです。
そんな下手な言い訳では、親はだませないでしょう。,傘の骨を曲げてしまった。,その景色の美しさは言葉では表せない。,クイズの答えを当てました。,砂糖を回してくれませんか。,廊下を走るな。,転職してから収入が増えた。,テニスの試合で彼に負けてしまった。,値段をまけていただけませんか。,彼女は体重が五キロ減りました。
山田さんはいつも時間を守らなくて、困ります。,秋葉原でパソコンを買いました。,彼は殺人の容疑が晴れた。,時から会議があるので、失礼します。,タイヤがパンクして、困っています。,ちょっと歩こうか。,新聞に地震の記事が出ています。,天気のいい日に布団を日に当てて乾かします。,明日傘を返します。,先生は生徒達を褒めた。
先生は私に本を買ってくれました。,何度洗っても、このしみは落ちない。,電話はどこにございますか。,食べすぎて、おなかを壊さないようにしてください。,どうやってそこへ行くか、あなたにお任せします。,はさみでひもを切りました。,四対三で彼らのチームが勝ちました。,変に聞こえるかもしれないけれど、本当の話です,新しい車を買おうと思っています。,パソコンの故障で、データが消えてしまった。
夏休みにどこへ行くか、まだ決まっていない。,先生がいらっしゃったら、これを渡していただけませんか。,何を言われても、私はあきらめなかった。,彼の優勝を祝うために、友達がみんな集まりました。,明日三時に駅で会いましょう。,傘を間違えないように、名前を書いておいた。,試験は問題をよく読んでから答えなさい。,彼女はインフルエンザにかかって、会社を休んでいる。,車を駐車場に止めておいたら、誰かにぶつけられた。,新しい靴が要ります。
貿易の仕事を始めようと思っています。,頑張れ。,店の人はその値段から5パーセント引いてくれた。,時計が壊れました。,時間とお金があれば、京都へ行きたいです。,忙しくて、目が回りそうだ。,明日はお宅にいらっしゃいますか。,壁にポスターがはってある。,月曜日の五時にお待ちしております。,汚いから、机の上をふいて下さい。
一時間待っても、彼は現れなかった,日本語ができますか。,頑張ってください。,失礼ですが、山田先生ではございませんか。,彼とはもう手を切りました。,この魚はまだ生きています。,犯人はナイフで彼を殺した。,マラソン大会に出るために、毎日走っています。,六時の飛行機に間に合うように急ぎましょう。,封筒に切手をはった。
どこかでタクシーを拾って帰ろう。,電車に忘れたかばんが返って来ました。,交差点で車とバイクがぶつかった。,ごみを拾ってください。,CDはいつお返しすればいいですか。,雨に降られて、びしょぬれです。,その本が要らなければ、私にくれませんか。,この問題をできるだけ早く片付けたい。,彼女は急いでうちに帰った。,男の子は道で財布を拾った。
試験の答えを二つ間違った。,このナイフはよく切れる。,鈴木さんを含めると、全部で十人になります。,去年はクリスマスと日曜日がぶつかった。,雪が降っています。,明日は何時に集まればいいですか。,彼はテニスの試合に勝った。,この辺りの土地は肥えている。,道でその看板が目に触れた。,黒い服が、はやっています。
何から始めましょうか。,この試合に勝て。絶対に負けるな。,宝くじで百万円が当たった。,日本語の語彙が増えた。,仕事は大変ですが、頑張りたいと思います。,遠慮しないで、どうぞお上がりください。,額に手を当ててみたら、熱かった。,間違えて、隣の部屋に入ってしまった。,後程またご連絡いたします。,横浜で道に迷ってしまった。
厳しい冬を越さなければなりません。,鈴木さんは銀行に百万円を預けている。,交通事故でけがをした人が救急車で病院へ運ばれた。,彼は東京でアパートを借りている。,たぶん明日は晴れるでしょう。,今、どっちが勝っていますか。,この靴を履いてみてもいいですか。,この企画は見込みがない。あきらめよう。,みんな疲れ切っています。,どっちの靴を買おうか迷っています。
私は切手を集めています。,息子はそのおもちゃにもう飽きたようだ。,足が痛くて、走れない。,弟にパソコンを壊されました。,会議はもう始まっています。,最近、電気自動車の数が増えている。,このライトは自動的に消える。,野球の試合は今始まったところです。,彼女は誘惑に負けて、その指輪を買ってしまった。,途中で道に迷わないように、地図を持って行こう。
新しい仕事がまだ見つからない。,ゆうべ寝る前に宿題をしました。,半年で背が五センチも伸びました。,その会社は一年以上経験のある人を求めている。,テストの勉強をしなければならなかったのに、眠ってしまった。,手を伸ばして、本棚の上の辞書を取った。,五万円をドルに直すと、いくらですか。,そんな簡単にもうけられる仕事はないだろう。,そこにある鍵をこっちに投げてください。,品物はショーケースに並べてあります。
彼女は努力と実績が認められて、昇進した。,本は五十音順に並べられている。,山田さんは若く見えますね。,父は日本への留学を認めてくれた。,一日に何時間日本語を勉強なさいますか。,写真を撮りますから、こちらを向いてください。,日が昇る前に、神社へ祈りに出かけた。,ファイルは番号の順番に並べておいてください。,その通りには、いろいろな店が並んでいる。,彼女を泣かせてしまった。
彼女は慣れた手つきで筆を使った。,火事の場合は、非常口から逃げてください。,マラソン大会に向けて、毎日走っています。,ご注文の料理はもう通っております。,柔道の腕を磨くために、日本に来ました。,声を上げて、助けを求めた。,その駅の周りは道が複雑で、迷いやすい。,彼は疲れているように見えた。,記者団の質問は、すべてその政治家に向けられた。,これは先生から頂いた辞書です。
近所の歯医者で虫歯を治してもらった。,秘密は彼の口から漏れたらしい。,着物の帯を結ぶのは難しい。,そのかばんをお持ちしましょうか。,祖父が亡くなって、五年になります。,どうなさったんですか。頭が痛いんです。,山田さんは去年お亡くなりになりました。,どの道を通って行きますか。,ひらがなが全部読めるようになった。,形の似た漢字があるので、気をつけてください。
彼女は怒って、私に背を向けた。,彼は眼鏡のレンズを磨いてもらった。,メモを目立つ場所に置いておこう。,妹に大事な本を無くされた。,鈴木さんは自分が間違えたことを認めようとしない。,彼は日本に残って、勉強を続けるそうです。,彼が会社まで車に乗せてくれたので、もうかった。,彼女は娘に英語を習わせた。,山田さんはあの部屋でテレビを見ています。,ピクニックは、はき慣れた靴で来てください。
出かける前に靴を磨きました。,その子は大きくなったら、医者になりたいそうだ。,富士山に登ったことがありますか。いいえ。でも、いつか登ってみたいです。,名簿から彼の名前が漏れていた。,カーテンのすき間から明かりが漏れています。,映画でも見に行きませんか。,やっと日本の大学の入学を認められました。,東京タワーに上ったら、遠くの山が見えます。,日本の生活に慣れましたか。ええ、すっかり慣れまし た。,途中で投げないで、最後まで頑張ろう。
もう風邪は治りましたか。ええ、すっかりよくなりま した。,ちょっとその本を見せてください。,時計が直りました。,彼女は髪の毛を結んで、ポニーテールにした。,一列に並んでください。,二人は十年間交際して、やっと結ばれました。,変なにおいがしますが、ガスが漏れていませんか。,彼の説明を聞き漏らしてしまった,病気が治るように、ゆっくり休んでください。,彼の会社はとてももうかっているらしい。
彼は投資でお金をもうけました。,ゆうべはよく眠れましたか。私はぐっすり眠れました。,テニスでは彼に並ぶ者はいない。,足のけがは、まだ完全に治っていない。,山田さんはギターを習いたがっている。,彼女は思わずため息を漏らした。,道がわからないんですが、教えていただけませんか。,じゃがいもの皮をむいてください。,アパートが見つかった。うん、いいのが見つかった よ。,そろそろ寝る時間ですね。お休みなさい。
そのピッチャーは速い球を投げる。,髪が伸びすぎたので、美容院に行きたい。,本がなくなってしまった。,入場券は入口の窓口でお求めください。,こんな残酷な映画は子供に見せられない。,食事の後で歯を磨きます。,ホースから水が漏れている。,彼は駅前のビルに事務所を設けた。,友達に空港まで車で送ってもらった,彼は寝ながら本を読んでいる。
カジノでいくらもうかりましたか。十万円もうかりま した。,ここからは何も見えません。,どこかで財布を無くしてしまった。,彼女は事故で両親を亡くした。,そんな言葉に迷わされてはいけない。,この魚は生で食べられますか。いいえ、煮て食べてください。,子供は新しい環境に慣れるのが早い。,子供達がボールを投げて遊んでいます。,面白い本を見つけたので、紹介します。,彼女は日本語が目立って上手になった。
壊れた自転車を直すのに一万円もかかった。,田中さんに家族の写真を見せてもらった。,その会社は今、業績を伸ばしている。,このパソコンはもう直らないと言われました。,日本滞在を一週間延ばしました。,彼は急に顔をこちらに向けた。,できるかどうか分かりませんが、やってみます。,先生は学生を校庭に並ばせた。,母に重い買い物袋を持たされた。,役所の一階に相談窓口が設けられている。
子供の時、ピアノを習わされました。,赤ちゃんが眠っているので、静かにしてください。,彼女は髪を長く伸ばしています。,いすを二列に並べました。,そのかばんは、どこでお求めになりましたか。,彼は背が高いので、目立ちます。,この服は若い人に向きません。,先生は間もなくお見えになります。,赤ちゃんが泣いている声が聞こえる。,電話が鳴っています。
彼は質問からうまく逃げた。,その商売は期待したほどもうからなかった。,今日は目立ったニュースはない。,すみませんが、もう少し静かにしてもらえませんか。,私は八時間以上眠らないと、調子が悪い。,いつも何時ごろ寝ますか。,このカーテンは光を外に漏らさない。,飲み物は何になさいますか。コーヒーにします。,景気は回復の兆しを見せている。,彼女は一週間も風邪で寝ている。
彼は日本に向けて、出発した。,日本人の友達から日本語を習いました。,一生懸命練習して、テニスが上手になりました。,美しい自然を子孫に残さなければならない。,試験に受かり、うれしくて泣いた。,彼女は教師に向いていると思います。,その学生は先生に見つからないように、こっそり教室に入った。,この野菜はもう少し煮たほうがいい。,鈴木さんは家族を東京に残して、大阪に転勤した。,自転車で坂道を上るのは大変だ。
放課後残って、勉強した。,部屋の鍵が見つからなくて、困りました。,株には興味がなくなりました。,彼女の車はいつもぴかぴかに磨いてある。,道に財布が落ちているのを見つけました。,途中で道に迷わないように、地図を持って行こう。,私は今お金を持っていません。,森さんは大きな店を持っています。,去年の夏、農家は水不足に泣かされた。,警官は逃げた犯人を追って行った。
泥棒は車で逃げたらしい。,友達から誕生日のプレゼントをもらいました。,彼は肩を壊してしまって、ボールが投げられない。,日本の会社と契約を結ぶことができた。,車を直してもらいました。,残さないで全部食べてください。,鳥が鳴いています。,すみませんが、荷物を持ってくれませんか。,日本語で手紙を書いたんですが、間違いを直してもらえませんか。,レンズを通して町を眺める。
秘密を漏らさないでください。,六時に目覚まし時計が鳴った。,このバスは二つの都市を結んでいる。,このケーキは残しておいて、明日食べよう。,生け花を習おうと思っています。,レポートを書くのに丁度いい資料が見つけられなかった。,この書類は絶対に無くさないでください。,レポートの提出期限を来週に延ばしてもらった。,あの兄弟は顔は似ているが、性格は全然似ていない。,この頃、日が延びてきましたね。
